Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,10.2,17.6,0,top
C2,0.47uF,C_0402_1005Metric,-6,-6.2,180,top
C3,0.47uF,C_0402_1005Metric,-0.47,-11.48,-90,top
C4,10u,C_0805_2012Metric,11.4,6.4,0,top
C5,100n,C_0402_1005Metric,-5.865,13,180,top
C6,100n,C_0402_1005Metric,-0.4,7.48,90,top
C7,100n,C_0402_1005Metric,1.5,-6.25,-90,top
C8,1u,C_0402_1005Metric,1.7,5.1,90,top
C9,100n,C_0402_1005Metric,0.6,7.48,90,top
C10,1u,C_0402_1005Metric,2.7,5.1,90,top
C11,100n,C_0402_1005Metric,-4.8,4.02,90,top
C12,100n,C_0402_1005Metric,6.5,-1.77,-90,top
C13,100n,C_0402_1005Metric,-6.385,-1.2,180,top
C14,100n,C_0402_1005Metric,0.381,-6.25,-90,top
C15,100n,C_0402_1005Metric,5.82,4.3,0,top
C16,100n,C_0402_1005Metric,4.8,10.935,90,top
C17,10u,C_0805_2012Metric,-0.85,11.8,0,top
D1,LED,LED_0603_1608Metric,12,-5.2375,-90,top
J1,SWD_JST,JST_ACH_BM03B-ACHSS-GAN-ETF_1x03-1MP_P1.20mm_Vertical,10,-17.5,0,top
R1,1k,R_0402_1005Metric,-12.5,13.5,90,top
R2,10k,R_0402_1005Metric,-10.5,12.5,180,top
R3,1k,R_0402_1005Metric,11.89,-7.5375,180,top
SW1,SW_Push,TS-1187A-PushButton,-17.24,10.5,90,top
U1,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,10.5,11.95,-90,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,-9,9,0,top
U3,RP2040,RP2040-QFN-56,0,0,0,top
U4,Si5351A-B-GT,MSOP-10_3x3mm_P0.5mm,-3.9,-8.7,0,top
Y2,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,-8.9,-8.7,-90,top
